PATENTE;AÑO GIRO;AÑO FABRI.;MONTO PAGADO;TIPO PAGO;FECHA PAGO;MODULO ATENCION;TIPO VEHICULO;MARCA;MODELO;COLOR;CODIGO SII
RXBY30;2025;2011;33715;TOTAL;45728;WEB;STATION WAGON;MAZDA;AXELA ;AZUL;HB1600052
RXCB85;2025;2017;22578;1°Cuota;45728;WEB;STATION WAGON;SSANGYONG;TIVOLI ;BLANCO;SU2250111
RXCC30;2025;2009;33715;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;SANTA FE ;BLANCO;SU1110070
RXTZ88;2025;2022;198808;TOTAL;45728;WEB;CAMIONETA;NISSAN;NAVARA ;ROJO;CT1760339
RXXK43;2025;2022;107234;TOTAL;45728;WEB;STATION WAGON;CHEVROLET;CAPTIVA T LTZ CVT N;GRIS METALICO;SU500151
RXXP69;2025;2012;37946;TOTAL;45728;WEB;STATION WAGON;HONDA;CR Z ;GRIS GRAFITO;VN1660039
RXXR16;2025;2016;33715;TOTAL;45728;WEB;AUTOMOVIL;HYUNDAI;ACCENT ;GRIS;HB1110171
RXXR21;2025;2007;33715;TOTAL;45728;WEB;CAMIONETA;KIA MOTORS;BONGO III ;BLANCO;CT1320036
RYKB57;2025;2008;33715;TOTAL;45728;WEB;CAMIONETA;HYUNDAI;PORTER II 2.5 ;AZUL;CT1110038
RYKD90;2025;2016;147119;TOTAL;45728;WEB;STATION WAGON;JEEP;WRANGLER 4X4 ;NEGRO;SU1210069
RYXG53;2025;2009;33715;TOTAL;45728;WEB;CAMIONETA;HYUNDAI;PORTER HR CHASIS;AZUL;CT1110037
RZRC59;2025;2012;33715;TOTAL;45728;WEB;STATION WAGON;HONDA;FIT ;CAFE;HB1060026
RZRD38;2025;2012;33715;TOTAL;45728;WEB;STATION WAGON;CHEVROLET;ORLANDO ;ROJO;VN500053
RZRD46;2025;2007;33715;TOTAL;45728;WEB;CAMIONETA;KIA MOTORS;BONGO III ;BLANCO;CT1320038
SBRT77;2025;2010;33715;TOTAL;45728;WEB;AUTOMOVIL;TOYOTA;IQ ;ROJO;HB2350028
SBRV74;2025;2015;87598;TOTAL;45728;WEB;AUTOMOVIL;BMW;320D ;AZUL;SD320284
SBRV75;2025;2014;33715;TOTAL;45728;WEB;AUTOMOVIL;NISSAN;NOTE ;GRIS;HB1760056
SBRW20;2025;2008;33715;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;SANTA FE ;PLATEADO;SU1110068
SBRW55;2025;2022;144981;TOTAL;45728;WEB;AUTOMOVIL;CITROEN;C4 1.5 BLUEHDI  130 S&S EAT8  SHINE ;GRIS PLATINIUM;HB520263
SBRW74;2025;2012;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;CAFE MARRON;SD1600177
SCCG39;2025;2007;33715;TOTAL;45728;WEB;AUTOMOVIL;SUBARU;IMPREZA ;GRIS;SU2270265
SCCH30;2025;2010;33715;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;TUCSON ;BLANCO PERLA;SU1110052
